hi	مرحبًا
i gave my father a silk tie	أعطيتُ أبي ربطة عنق حريرية
i go shopping every morning	أتسوق كل صباح
i got this bicycle for free	حصلت على هذه الدراجة مجاناً
i have been dealt four aces	لقد رميت اربع اوراق من نوع أس
i have no further questions	ليس لدي أي أسئلة أخرى
i have no knife to cut with	ليس لدي سكين لأقطع به
i have nothing better to do	ليس لدي أي شيء أفضل للقيام به
i have to attend this class	يجب علي حضور هذه المحاضرة
i havent seen you in years	لم أرك منذ سنوات
i just wanted to be popular	أردت الشهرة فقط
i know that you like coffee	أعلم أنّك تحبّ القهوة
i know what tom did to mary	أعلم ماذا فعل توم بماري
i know you dont believe me	أعلم بأنك لا تصدقني
i left your book in the car	تركتُ كتابك في السيارة
i like the way you treat me	أحب معاملتك لي
i like the way you treat me	أحب الطريقة التي تعامليني بها
i love her and she loves me	أحبها و تحبني
i never could say no to you	انني لن اقول لك لا مطلقا
i prefer swimming to skiing	أنا أفضل السباحة على التزلج
i regret missing the speech	ندمت على عدم حضوري الخطبة
i remember locking the door	أذكر أني أغلقت الباب
i shouldnt have eaten that	لم يكن عليّ أكل هذا
i showered before breakfast	استحممت قبل تناول الإفطار
i talked to her for an hour	تكلمت معها لمدة ساعة
i think tom now understands	اعتقد ان توم يفهم الان
i thought i did pretty well	ظننتني أبليت حسنا
i want to know your opinion	أريد أن أعرف رأيك
i want to rent out my house	أريد أن أؤجر منزلي
i was born in kyoto in	وُلدت في كيوتو سنة ١٩٨٠م
i was born in kyoto in	وُلدت في كيوتو سنة ١٩٨٠ للميلاد
i was interviewed for a job	أجريتْ لي مقابلة عمل
i was very tired last night	كنت متعباً جداً ليلة البارحة
i went to the wrong address	ذهبت إلى العنوان الخطأ
i went to the zoo yesterday	ذهبت إلى حديقة الحيوان البارحة
i went to the zoo yesterday	زرت حديقة الحيوان بالأمس
i wish youd told me before	اتمنى لو كنت اخبرتنى من قبل
i wont talk to him anymore	لن أكلمه من الآن فصاعداً
i work in a language school	أعمل في مدرسة للغات
i would do anything for tom	سأفعل أيّ شيء لِتوم
i would like a tourist visa	اود الحصول على تأشيرة سياحية 
id like to sing you a song	اود أن اغني لك
id rather die than do that	أفضّل الموت على ذلك
id rather die than give up	أفضّل الموت على الاستسلام
id rather not go out today	أفضل ألا أخرج اليوم
ill be a little late today	سأتأخر قليلا اليوم
ill be back in ten minutes	سأعود في عشر دقائق
ill be back within an hour	سأعود في خلال ساعة
ill buy a watch for my son	سأشتري ساعةً لابني
ill pick you up after work	سأقلك بعد العمل
ill speak with the teacher	سأتكلم مع الأستاذ
im afraid its unavoidable	أخشى بأنه لا يمكن تجنبه
im going to brush my teeth	سأغسل أسناني
im just looking thank you	شكراً أنا فقط أتفرج
im just looking thank you	أنا أبحث فقط شكراً لكَ
im just looking thank you	أنا أبحث فقط شكراً لكِ
im neither rich nor famous	لست لا غنيًّا ولا مشهورًا
im now used to not smoking	اعتدت على عدم التدخين
im playing with my friends	أنا العب مع أصحابي
im sorry for what happened	آسف لما حدث
im still looking for a job	أنا ما زلت أبحث عن وظيفة
im taking a walk in a park	أتمشى في الحديقة
im very proud of my father	أنا شديدة الفخر بأبي
im very proud of my father	أنا فخورة جدا بأبي
im very proud of my father	أنا فخورة جدا بوالدي
ive been asked to help you	لقدطلب مني مساعدتك
ive been learning to drive	إني أتعلم القيادة
ive been waiting for hours	كنت أنتظر لساعات
ive climbed mt fuji twice	تسلقت جبل فوجي مرتين
ive had a pleasant evening	أمضيت ليلة ممتعة
ive heard this song before	لقد سمعت هذه الأغنية من قبل
ive lost your phone number	أضعت رقم هاتفك
ive never climbed mt fuji	لم أتسلق جبل فوجي أبداً
ive never climbed mt fuji	لم يسبق لي أن تسلقت جبل فوجي
is it so difficult to write	هل هي صعبة للغاية لكي تُكتب؟
is this translation correct	هل هذه الترجمة صحيحة؟
it is an endangered species	إنه نوع مهدد بالانقراض
it only takes a few minutes	ستأخذ بضع دقائق
it really gets on my nerves	إن ذلك يغيظني حقاً
it was about twenty dollars	كان هناك حوالي عشرين دولاراً
its an indisputable matter	هذا أمرٌ مُسَلمٌ بِهِ
its useless to talk to tom	الكلام مع توم بلا فائدة
its well worth the trouble	إنها تستحق العناء
lets forget about the past	لننسى الماضي
lets start with lesson ten	فلنبدأ بالدرس العاشر
many businesses closed down	أُغلقت الكثير من المحالّ
may i have a glass of water	هل لي بكأس ماء؟
may i look at your passport	هل لي أن أُلقي نظرة على جواز سفرك؟
maybe what you said is true	من الممكن أن يكون ما تقوله صحيح
milk doesnt mix with water	لا يختلط الحليب بالماء
most people think im crazy	يعتقد الكثيرون أني مجنون
most people think im crazy	معظم الناس يظنون أني مجنون
my tv is on the fritz again	تعطل تلفزيوني مجددا
my daughter likes egg yolks	ابنتي تحب صفار البيض
my family is not very large	عائلتي ليست كبيرة
my father has gone to china	ذهب أبي إلى الصين
my father has gone to china	سافر أبي إلى الصين
my father has gone to china	لقد ذهب أبي إلى الصين
my father is in good health	والدي في صحة جيدة
my future remains uncertain	مستقبلي يبقى غير واضح
my future remains uncertain	مستقبلي يبقى غير مأكد
my house is near the school	منزِلي قريب من المدرسة
my house is near the school	بيتي بالقُرب من المدرسة
my little finger is swollen	اصبعي الصغير متورم
my mother left me a message	تركت لي أمي رسالة
my uncle gave him a present	أعطاه عمي هدية
my uncle gave me this watch	عَمّي أعطاني هذه السّاعة
no one believed me at first	لم يصدقني أحد في البداية
nobody cares what you think	لا يهتم أحد برأيك
not everybody can be a poet	ليس بإمكان أي إنسان أن يصبح شاعرا
our best friend is a doctor	صديقنا المفضّل طبيب
our friendship did not last	لم تدم صداقتنا
parents love their children	الآباء يحبون أولادهم
perhaps itll snow tomorrow	من الممكن أن تثلج غداً
perhaps itll snow tomorrow	لربما تساقط الثلج غداً
pickpockets target tourists	النشالون يستهدفون السياح 
please give me a cup of tea	رجاء، أعطني كوبا من الشاي
please send it to me by fax	من فضلك أرسلها عن طريق الفاكس
pus has formed in the wound	تَكَوّنَ الصديد في الجرح
read the bottom of the page	إقرأ أسفل الصفحة
sensing danger he ran away	أحس بالخطر فهرب
she has five older brothers	لديها خمس إخوة أكبر منها
she has five older brothers	لديها خمسة إخوان كبار
she rides a motorcycle well	قيادتها للدراجة النارية جيدة
she saved a hundred dollars	لقد ادخرت مائه دولار
she stays in touch with him	هي تبقى على إتصال معه
she turned down my proposal	رفضت عرضي
she will be late for dinner	ستتأخّر على العشاء
she will get well in a week	ستتحسن خلال أسبوع
shes much heavier than him	إنها أثقل منه بكثير
slaves did most of the work	قام العبيد بمعظم الأعمال
smile at the camera please	إبتسم للكاميرا إذا سمحت
sorry i didnt reply sooner	عذرا لعدم الرد أبكر
speaking english isnt easy	التحدث بالإنجليزية ليس أمراً سهلاً
stop playing with your hair	كُفّ عن اللعب بشعرك
take off your socks please	إخلع شرابك من فضلك
take off your socks please	إخلع خفيك من فضلك
thank you for your interest	شكراً لكَ على إهتمامك
thank you for your interest	شكراً لكِ على إهتمامِك
thank you for your kindness	شكراً لكَ على لطفك
thank you for your kindness	شكراً لكِ على لطفكِ
thank you very much doctor	شكراً جزيلاً لك يا دكتور
thank you very much doctor	شكراً جزيلاً لك أيها الطبيب
thanks for your explanation	شكراً على الشرح
thanks for your explanation	أشكرك لشرحك لي ذلك
thanks for your explanation	أشكرك لأنك وضّحت لي ذلك
that was what tom told mary	هذا ما قاله توم لماري
the bee flew out the window	طارت النحلة من النافذة
the dog is blind in one eye	الكلب أعور
the end justifies the means	الغاية تبرر الوسيلة
the end justifies the means	الغايةُ تبرّرُ الوسيلة
the first stage is complete	اكتملت المرحلة الأولى
the park was full of people	كان المنتزه مليئاً بالناس
the rain spoiled our picnic	أفسد المطر نزهتنا
the servant swept the floor	كنس الخادم الأرض
the soccer game is tomorrow	ماتش كوره القدم غدا
the train is about to leave	القطار سوف يغادر
theres no shortage of work	لا يوجد نقص في العمل
these are two nice pictures	هاتان صورتان جميلتان
they are about the same age	هم في نفس العمر تقريباً
they are about the same age	إنهم في نفس العمر تقريباً
they believed he was honest	صدقوا أنه صادق
they decided to get married	قررا أن يتزوجا
they died one after another	ماتوا واحداً تلو الآخر
they fell one after another	وقعوا واحداً تلو الآخر
they shouldve known better	كان عليهم توقع ذلك
theyre always deep in debt	لديهم ديون كثيرة
theyre washing their hands	إنهم يغسلون أيديهم
this is toms favorite book	هذا كتاب توم المفضل
this is a difficult problem	هذه مشكلة صعبة
this is an important letter	هذه رسالة مهمة
this is my favorite project	هذا مشروعي المفضل
this is the window he broke	هذه هي النافذة التي كسرها
this pond has a lot of carp	في هذه البركة الكثير من سمك الشبوط
this website is very useful	هذا الموقع مفيد جدا
those who know him like him	من عرفه، أحبه
tom and mary were neighbors	توم و ماري كانو جيران
tom asked me to forgive him	طلب مني توم مسامحته
tom calculated his expenses	توم حسب مصاريفَهُ
tom can stay if he wants to	يمكن لتوم البقاء إن رغب
tom couldve said something	يمكن لتوم أن يقول شيئا
tom didnt know what to say	توم لم يعرفْ ماذا يقول
tom didnt take it with him	توم لم يأخذها معه
tom didnt want to go there	لم يرد توم الذهاب إلى هناك
tom doesnt have many books	ليس لتوم الكثير من الكتب
tom drinks coffee every day	يشرب توم القهوة يوميا
tom gave mary the wrong key	أعطى توم ماري المفتاح الخطأ
tom got into the wheelchair	جلس توم على الكرسي المتحرك
tom got shampoo in his eyes	دخل الشامبو في عيني توم
tom got to boston yesterday	بالأمس وصل توم إلى بوسطن
tom is a responsible driver	توم سائق مسؤول
tom is in his room sleeping	توم نائم في غرفته
tom is poor but hes happy	توم سعيدٌ على الرّغم من فقره
tom likes painting pictures	توم يحب تلوين الصور
tom looked like he was rich	بدا توم وكأنه ثري
tom lost his sense of smell	فقد توم حاسة الشم
tom never talked about mary	لم يتحدث توم عن ماري قط
tom saved her from the fire	أنقذها توم من الحريق
tom teaches at a university	توم يدرس في الجامعة
tom thanked me for the gift	توم شكرني على الهدية
tom thanked me for the gift	توم قام بشكري على الهدية
tom told me mary is in jail	أخبرني توم أن ماري في السجن
tom wants to stay with mary	توم يريد البقاء مع ماري
tom wants to stay with mary	توم يُريد أن يبقى مع ماري
tom was a college professor	كان توم دكتور جامعي
tom was indicted last month	تم اتهام توم الشهر الماضي
tom wasnt surprised at all	توم لم يكن متفاجئًا أبدًا
tom will need a lot of help	سوف يحتاج توم الكثير من المساعدة
tom wished he hadnt looked	تمنى توم لو أنه لم يرى
we all had such a good time	قضينا وقتاً ممتعاً
we dont know the truth yet	نحن لا نعرف الحقيقة بعد
we enjoyed playing baseball	تسلينا بلعب كرة القاعدة
we enjoyed playing baseball	أمضينا وقتاً ممتعاً و نحن نلعب كرة القاعدة
we have to expect the worst	علينا أن نتوقع الأسوأ
we just have to explain why	علينا توضيح السبب فحسب
we really enjoyed ourselves	أمضينا وقتاً ممتعاً جداً
we really enjoyed ourselves	تسلينا كثيراً
we took him to the hospital	نحن أخذناه إلي المستشفي
weve already done our work	سبق أن أنهينا عملنا
welcome back we missed you	أهلاً بعودتك لقد اشتقنا إليك
were you sober at that time	هل كنت صاحٍ في ذلك الوقت؟
what are you thinking about	بماذا تفكر؟
what are you thinking about	ما الذي تفكر فيه؟
what are you thinking about	في ماذا تفكر؟
what do you advise me to do	ماذا تنصحني أن أفعل؟
what do you do for a living	ما مهنتك؟
what else do you have to do	ما الأمر الآخر الذي يجب عليك ان تفعله؟
what makes you so confident	ما الذي يجعلك واثق هكذا؟
what turned her against you	ما الذي قلبها عليك؟
what i cant hear you guys	ماذا؟ أنا لا أستطيع سماعكم أيها الرفاق
what i cant hear you guys	ماذا؟ لا أستطيع سماعكم أيها الرفاق
when did tom buy that shirt	متى اشترى توم هذا القميص؟
when did tom buy these eggs	متى اشترى توم هذه البيضات؟
where did you buy that coat	من أين اقتنيت ذلك المعطف؟
where did you buy that coat	من أين اشتريت ذلك المعطف؟
where do you want me to sit	أين تريدني أن أجلس؟
where is his clinic located	أين تقع عيادته؟
where will you be on monday	أين ستكون يوم الإثنين؟
which one of those is yours	أيّها لك؟
who designed these uniforms	من صمّم هذه الأزياء؟
who do you want to speak to	مع من تريد التحدث؟
whos your favorite pianist	من هو أحب عازفي البيانو إليك
why are you acting this way	لما تتصرف هكذا؟
why are you in such a hurry	لم أنت مستعجل؟
why are you in such a hurry	لماذا أنت في عجلة من أمرك هكذا؟
why did she come home early	لماذا عادت إلى المنزل باكراً؟
why dont they do something	لم لا يفعلون شيئا؟
why dont you come visit us	لم لا تأتِ لزيارتنا؟
why dont you come visit us	لم لا تزُرنا؟
why dont you try to fix it	لم لا تحاول إصلاحه؟
why is this happening again	لمَ يحدث هذا ثانيةً؟
will you be home for dinner	هل ستكون في المنزل لتناول العشاء؟
you are mistaken about that	إنك مخطئ بشأن ذلك
you can always count on tom	يمكنك دوماً الإعتماد على توم
you can go home if you like	يمكنك العودة إلى البيت لو أردت
you didnt work hard enough	أنت لم تعمل بما فيه الكفاية
you have made many mistakes	لقد ارتكبت الكثير من الأخطاء
you like english dont you	أنت تحب اللغة الإنجليزية ، أليس كذلك؟
you like english dont you	إنك تحب الإنجليزية، أليس كذلك؟
you must judge for yourself	عليك أن تحكم بنفسك
you must show your passport	يجب أن تريني جواز سفرك
you must stick to your diet	يجب ان تلتزم بنظامك الغذائي
you should apologize to her	عليك أن تتأسف لها
you should begin right away	عليك أن تبدأ حالاً
you should begin right away	عليك البدء في الحال
you should give up drinking	عليك أن تقلع عن شرب الكحول
you will see the difference	سترى الفرق
youll eventually forget me	ستنساني في نهاية المطاف
a dog is a mans best friend	الكلب صديق الإنسان الوفي
a dog is a mans best friend	الكلب صديق وفي للإنسان
a good idea crossed his mind	خطر له فكرة جيدة
a good idea crossed his mind	خطر بباله فكرة جيدة
a hungry man is an angry man	الجوعُ كافرٌ
a prolonged silence followed	حدث بعده سكون طويل
an investigation is going on	هناك تحر جار
an uncle of mine is a doctor	أحد أعمامي طبيب
are you angry at what i said	هل أنت غاضب مما قلت؟
are you going to toms party	أستذهب إلى حفلة توم؟
are you meeting someone here	هل ستلتقي بأحد هنا؟
are you ready to go home now	هل أنت جاهز للذهاب للبيت الآن؟
are you the person in charge	هل أنت الشخص المسؤول؟
arent you going to tell tom	ألن تخبر توم؟
both tom and i are very busy	أنا وتوم كلانا مشغولان
both of them are in the room	كلاهما في الغرفة
both of them are in the room	كِلاً من هما في الغرفة
can you help me with my work	هلّا ساعدتني في عملي؟
can you show me another room	هل تستطيع أن تريني غرفة أخرى؟
can your brother drive a car	هل يستطيع أخوك أن يقود سيارة؟
cobras are always very alert	أفاعي الكوبرا تكون دائمًا متيقظة إلى أبعد الحدود
could you please repeat that	هلّا كررت هذا؟
do you know how to use an ax	هل تعرف كيف تستخدم فأس
do you want my email address	أتريد عنواني الإلكتروني؟
dont forget to feed the dog	لا تنس تقديم الأكل للكلب
dont leave me alone please	لا تتركني لوحدي أرجوك
dont mention this to anyone	لا تذكر هذا لأحد
dont underestimate my power	لا تستهن بقوتي
each of them has his own car	كلٌّ منهم لديه سيارته الخاصة
english is a global language	الإنجليزية لغةٌ عالمية
europeans like to drink wine	يحب أهل أوروبا شرب الخمر
everybody is waiting for you	الكل ينتظرك
everybody is waiting for you	الجميع ينتظرونك
everyone attacked my opinion	هاجم الجميع رأيي
everyone came except for tom	أتى الجميع باستثناء توم
excuse me who is this woman	المعذرة، من هذه المرأة؟
football is my favorite game	كرة القدم هي لعبتي المفضلة
football is my favorite game	كرة القدم أحب رياضة إلى قلبي
forget what i said yesterday	انسى ما قلته بالأمس
fortunately no one was hurt	لحسن الحظ لم يتأذ أحد
give me your opinion please	أعطني رأيك من فضلك
have dinner with us tomorrow	تناول الغداء معنا غدا
have you ever traveled alone	هل سافرت لوحدك قط؟
have you ever traveled alone	هل سافرت لوحدك مرة؟
he couldnt possibly succeed	لم يكن هناك احتمال لنجاحه
he did what he had been told	فعل ما أُمِرَ به
he is allergic to house dust	عنده حساسية من غبار المنزل
he is always late for school	دائماً يتأخر عن المدرسة
he is anxious to go with you	هو متشوق للذهاب معك
he is more lucky than clever	إنه محظوظ أكثر مما هو ذكي
he is more lucky than clever	حظه يسبق ذكاءه
he is more lucky than clever	لديه حظ أكثر من الذكاء
he is more lucky than clever	حظه يفوق ذكاءه
he is preparing for the test	إنه يجهز نفسه للإمتحان
he is preparing for the test	إنه يستعد للامتحان
he is said to have died here	يُقال أنه قد مات هنا
he is the baby of the family	هو طفل العائلة
he kept all the windows open	أبقى جميع النّوافذ مفتوحة
he put some coins in the box	وضع بعض النقود المعدنية في الصندوق
he was innocent of the crime	كان بريئاً من الجريمة
he works in the car industry	إنه يعمل في قطاع صناعة السيارات
he works in the car industry	إنه يعمل في مجال صناعة السيارات
hes accustomed to traveling	إنه معتاد على السفر
her son called from new york	اتصل ابنها من نيويورك
hey what are you looking at	الى ماذا تنظر ؟
how beautiful this flower is	ما أجمل هذه الزهرة
how can i get to the stadium	كيف يمكنني الوصول إلى الملعب؟
how did you sleep last night	كيف نِمتَ الليلة الماضية؟
how did you sleep last night	كيف نِمتِ الليلة الماضية؟
how long did you wait for me	كم من الوقت أنتظرتني؟
how long will the storm last	كم ستستمر العاصفة؟
how many horses does tom own	كم حصانا لدى توم؟
how much do you want be paid	كم تريد أن يُدْفَعَ لك؟
i aimed my gun at the target	صوبت مسدسي نحو الهدف
i am not acquainted with him	لا أعرفه
i arrived in tokyo yesterday	وصلت إلى طوكيو البارحة
i asked him to drive me home	طلبت منه أن يوصلني إلى المنزل
i bought a new car last week	اشتريت سيارة جديدة الاسبوع الماضي
i bought two bottles of milk	اِشتريت زجاجتَي حليب
i brush my teeth twice a day	أفرش أسناني مرتين في اليوم
i cant allow you to do that	لا يمكنني السماح لك بفعل ذلك
i didnt do anything illegal	أنا لم أفعل أى شىء غير قانوني
i didnt have to do anything	لم يكن عليّ فعل شيء
i didnt hear my alarm clock	أنا لم أسمع المنبه
i didnt see the need for it	لا أرى لذلك حاجة
i didnt want this to happen	لم أكن اريد ان يحدث ذلك
i didnt want to look stupid	لم أرغب بأن أبدوا غبيا
i dont come here very often	لا آتي إلى هنا كثيرا
i dont have any energy left	لم تتبق لي أي طاقة
i dont have the address now	ليس معي العنوان الآن
i dont have time to eat now	ليس لدي وقت للاكل الان
i dont know why i was fired	لا أعلم لم تمّ فصلي
i dont like whats going on	لا أحب ما يجري
i dont think thats correct	أشكّ في صحة ذلك
i dont want a fulltime job	لا أريد وظيفة بدوام كامل
i figured youd be impressed	توقعت أنك ستنبهر
i followed her into the room	تَبِعْتُها إلى الغرفَة
i gave up smoking a year ago	أقلعت عن التدخين منذ سنة
i had a bad dream last night	حلمت بكابوس ليلة البارحة
i have a lot of things to do	لدي الكثير من الأشياء لأفعلها
i have something to tell you	أريد أن أقول لك شيئاً
i have to go to the hospital	يجب ان اذهب للمستشفى
i have to study for the test	عليّ أن أدرس للإمتحان
i havent found a doctor yet	لم أعثر على طبيب حتى الآن
i hope war doesnt break out	آمل ألا تنشب الحرب
i just wanted you to help me	أريد فقط أن تساعدني
i knew who tom had talked to	أعلم مع من تكلم توم
i know him by his first name	أعرفه بإسمه الأول
i know youve been in boston	أعرف أنك كنت في بوسطن
i may have to call you later	ربما علي أن أتصل بك لاحقا
i never asked you to help me	لم أطلب منك يومًا مساعدتي
i recognized him immediately	عرفته مباشرة
i remained until tom arrived	بقيت حتى وصل توم
i returned toms book to him	أعدت كتاب توم إليه
i saw a man coming toward me	رأيت رجلاً يتّجه نحوي
i saw him tear up the letter	رأيته يقطّع الرسالة
i saw him tear up the letter	رأيته يمزّق الرسالة
i see your cat in the garden	أرى قطتك في الحديقة
i shouldnt have trusted tom	ما كان يجب علي أن أثق بتوم
i still cant believe we won	ما زلت غير مصدّقًا أننا فزنا
i think its much better now	أظنه أفضل بكثير الآن
i think thats what happened	أظنّ أن هذا ما حدث
i took that photo a week ago	أنا أخذت تلك الصورة قبل إسبوع
i traveled at my own expense	سافرت على نفقتي
i usually dont drink coffee	بالعادة لا أشرب القهوة
i want to stay here with tom	أريد البقاء هنا مع توم
i want you to leave my house	أريد منك مغادرة منزلي
i was hoping youd volunteer	كُنتُ أتمنى أن تتطوّع
i was laughed at by everyone	ضحك الجميع عليّ
i was looking for the remote	كنت أبحث عن جهاز التحّكم
i wont ask you for anything	أنا لن أطلب منك شيء
i worked on the farm all day	عملت في المزرعة طوال اليوم
i wouldnt know how to begin	لا أعرف كيف سأبدأ
i wouldnt swim in this lake	لن أسبح بهذه البحيرة
id give you more if i could	سأعطيك مزيدا إن أمكنني ذلك
id like to have this camera	أريد هذه الكاميرا
ill be ready in ten minutes	سأكون جاهزة خلال عشر دقائق
ill never forget doing this	لن أنس أبدا القيام بذلك
ill stay here a whole month	سأبقى هنا لشهر كامل
im afraid the doctor is out	الطبيب غير موجود الآن للأسف
im going to change all that	سأغيّر هذا كله
im going to move next month	سأنتقل الشهر التالي
im not forgetting about you	لم أنسك
im not in the best of shape	لست في أفضل حال
im not sure how it happened	لست متأكدا كيف حدث ذلك
im not telling you anything	أنا لا أخبرك أي شئ
im really glad to hear that	أنا مسرور للغاية لسماع ذلك
im really glad to hear that	يسعدني جداً سماع ذلك
im running for city council	أنا أخوض إنتخابات مجلس المحافظة
im still waiting to see tom	لا أزالُ أنتظر رؤية توم
im very glad i wasnt there	أنا سَعيدٌ جداً لأنّي لم أكُنْ هناك
ive already spoken with tom	سبق أن حادثت توم
ive already spoken with tom	سبق أن كلمت توم
ive spoken to your teachers	لقد تحدّثت مع مدرّسيك
is eating red meat unhealthy	هل أكل اللحوم الحمراء غير صحي؟
isnt this against the rules	أليس هذا مخالفا للقواعد؟
it may indeed be a mistake	من الممكن فعلاً أن يكون ذلك خطأً
its never too late to start	ليس متأخراً جداً للبدء
lets get started right away	لنبدأ على الفور
lets get started right away	دعونا نبدأ على الفور
lets wait until he wakes up	لننتظر حتى يستيقظ
look it up in the dictionary	ابحث عنها في قاموسك
look over the papers please	من فضلك راجع تلك الأوراق
look over the papers please	من فضلك ألقٍ نظرةً على الأوراق
may i borrow your dictionary	هل لي أن أستعير قاموسك؟
my father works in a factory	يعمل أبي في مصنع
my grandfather gets up early	يستيقظ جدي باكراً
my grandfather loves to read	جدي يحب القراءة
my house is near the station	بيتي قريب من المحطة
my wife catches colds easily	تُصاب زوجتي بالبرد بسهولة
next time ill do it myself	في المرة المقبلة سأفعل ذلك بنفسي
no one believes that anymore	لا أحد يصدق ذلك بعد الآن
not all children like apples	لا يحب كل الأطفال التفاح
nothing has been decided yet	لم يتقرر شئ بعد
one failure followed another	فشل تلو الآخر
pandas are beautiful animals	الباندا جميلة
picasso was a famous painter	بيكاسو رسام مشهور
plants need sunlight to grow	تحتاج النباتاتُ ضوءَ الشمس لتنمو
plastic does not burn easily	لا يحترق البلاستيك بسهولة
police are investigating tom	تحقق الشرطة مع توم
police shouldnt take bribes	يجب على الشرطة ألا تقبل الرشوة
police shouldnt take bribes	على الشرطة ألا تقبل الرشاوي
prices have dropped recently	انخفضت الأسعار مؤخراً
she began to talk to the dog	أخذت تكلم الكلب
she bought eggs by the dozen	اشترت البيض بالدزينة
she bought eggs by the dozen	اشترت البيض بالدرزن
she came to japan as a child	جاءت اإلى اليابان عندما كانت صغيرة
she has a son and a daughter	لديها ابن وابنة
she is accustomed to sitting	إنّها معتادة على الجلوس
she is almost as tall as you	إنها بنفس طولك تقريباً
she left him for another man	تركته لتكون مع رجل آخر
she patiently waited for him	انتظرته صابرة
she rides her bike to school	انها تذهب بدراجتها للمدرسة
she turned around and smiled	استدارت بابتسامة
she turned around and smiled	استدارت و ابتسمت
she turned down his proposal	رفضت عرضه
she wrote a book about birds	كتبت كتاباً عن الطيور
someone is at the front door	أحدهم على الباب
study hard so you dont fail	ادرس بجد كي لا ترسب
take this chair its sturdy	خذ هذا الكرسي فهو صلب
tell me about your childhood	أخبرني عن طفولتك
tell me what youre thinking	أخبرني بماذا تفكر
that book had a lot of pages	صفحات ذلك الكتاب كثيرة
that doesnt change anything	هذا لا يغير شيئاً
that doesnt even make sense	ليس ذلك منطقيا بتاتا
that dress looks good on you	ذلك الفستان يبدو جميلاً عليك
that team has strong players	لدى ذلك الفريق لاعبون أقوياء البنية
thats because youre a girl	هذا لأنكِ فتاة
thats because youre a girl	ذلك لأنك بنت
thats happened to me before	حدث ذلك لي سابقًا
thats none of your business	ليس ذلك من شأنك
the apartment caught on fire	الشقة تحترق
the conference ended at five	انتهى المؤتمر عند الخامسة
the details arent necessary	التفاصيل ليست مهمة
the hunter shot the fox dead	أردى الصيادُ الثعلبَ
the king crushed his enemies	قضى الملك على أعدائه
the man spoke in a low voice	تكلم الرجل بصوت خافت
the man spoke in a low voice	تحدث الرجل بصوت منخفض
the monkey climbed up a tree	تسلق القرد الشجرة
the murder remains a mystery	ظلت جريمة القتل لغزاً
the old man died from hunger	مات الرجل العجوز من شدة الجوع
the old man lived by himself	عاش الرجل العجوز وحده
the old man starved to death	جاع الرجل العجوز حتى الموت
the play is at eight oclock	ستبدأ المسرحية في الساعة الثامنة
the shop is closed on sunday	المحل مغلق يوم الأحد
the sisters are both blondes	الأختان شقراوتان
the train hasnt arrived yet	لم يصل القطار بعد
there was no one in the room	لم يكن هناك أحد في الغرفة
theres a possibility of war	هناك إحتمال أن تندلع الحرب
theres a possibility of war	من المحتمل أن تندلع الحرب
theres no chance of winning	ليس هناك فرصة للفوز
they lost their trust in tom	لقد فَقَدوا ثِقَتَهُم في توم
they must be waiting for you	لا بد أنهم ينتظرونك
they were forced to withdraw	أجبروا على الانسحاب
theyve come to make trouble	هُم جاءو ليصنعوا مشكلة
this book sold well in japan	هذا الكتاب بيع جيدا في اليابان
this bread is hard as a rock	هذه الخبزة صلبة كالصخر
this chair needs to be fixed	هذا الكرسي يحتاج إلى الإصلاح
this is a government project	هذا مشروع حكومي
this is the only alternative	هذا هو الخيار الوحيد
this is too difficult for me	إن ذلك صعب جداً عليّ
this is what we want to know	هذا ما نريد أن نعرفه
this will take a lot of time	سيأخذ هذا وقتا طويلا
those are our teachers cars	تلك سيارات معلمينا
tom and mary are a lot alike	توم وماري متشابهان كثيراً
tom and mary drank champagne	توم و ماري شربا الشمبانيا
tom appeared out of thin air	ظهرة توم فجأة
tom appeared out of thin air	توم ظهر فجأة من الهواء
tom came home after midnight	عاد توم إلى المنزل بعد منتصف الليل
tom cant let go of the past	لا يمكن لتوم أن ينسى الماضي
tom carefully lifted the box	رفع توم الصندوق بحذر
tom didnt tell us the truth	توم لم يخبرنا الحقيقة
tom finally stopped laughing	توقف توم عن الضحك أخيرا
tom has never gone to school	توم لم يذهب ابدا الى المدرسة
tom is a construction worker	توم عامل بناء
tom is a very good craftsman	توم حرفي جيّد
tom is going to love it here	توم سوف يحب هذا المكان
tom is sharpening his pencil	توم يقلّم قلمه
tom is still in the hospital	ما زال توم في المستشفى
tom is wearing a sports coat	توم يرتدي معطف رياطي
tom knows the city very well	يعرف توم المدينة جيدا
tom lives in an old building	يعيش توم في مبنى قديم
tom looks tired this morning	يبدو توم متعبا هذا الصباح
tom offered to lend me money	عرض توم أن يقرضني بعض المال
tom ordered something to eat	طلب توم شيء للأكل
tom refused to talk about it	رفض توم التحدث عن ذلك
tom said that you need to go	قال توم بانك تحتاج ان تذهب
tom says that hes very busy	يقول توم بأنه مشغول للغاية
tom seems to be very popular	توم يبدوا معروفاً للغاية
tom took his camera with him	أخذ توم كمرته معه
tom traveled a lot last year	سافر توم كثيرا في العام الماضي
tom wants to go to australia	يريد توم الذهاب إلى أستراليا
tom will graduate in october	سيتخرج توم في أكتوبر
tom wont change his opinion	توم لن يغير رأيه
tom wrote a story about that	كتب توم قصة عن ذلك
tom i thought you were dead	توم؟ أعتقدت أنك ميت
turn down the volume please	أخفض الصوت من فضلك
